deployment_event_id,person_id,deployment_type,start_date,end_date,intensity_level,location_type
DEP-0475-01,P-0475,HIGH_INTENSITY,2026-01-19,2026-04-08,5,HIGH_INTENSITY_SECTOR
DEP-0479-01,P-0479,BORDER,2026-01-11,2026-03-06,2,BORDER_ZONE
DEP-0480-01,P-0480,HIGH_INTENSITY,2026-01-06,2026-02-03,3,HIGH_INTENSITY_SECTOR
DEP-0482-01,P-0482,HIGH_INTENSITY,2026-01-11,2026-03-10,4,HIGH_INTENSITY_SECTOR
DEP-0483-01,P-0483,TRAINING,2026-01-05,2026-02-26,4,TRAINING_AREA
DEP-0483-02,P-0483,TRAINING,2026-03-31,2026-05-15,3,TRAINING_AREA
DEP-0487-01,P-0487,FIELD,2026-01-17,2026-05-02,4,REMOTE_FIELD
DEP-0488-01,P-0488,FIELD,2026-01-09,2026-02-15,2,REMOTE_FIELD
DEP-0490-01,P-0490,FIELD,2026-01-14,2026-02-11,2,REMOTE_FIELD
DEP-0493-01,P-0493,BORDER,2026-01-16,2026-03-27,3,BORDER_ZONE
DEP-0494-01,P-0494,URBAN,2026-01-17,2026-04-18,2,URBAN_AREA
